cv_id,clean_text,level,profile_type,domain,skills_norm_str,community_id
CV_0000,cv profile junior candidate in design experience with relevant tools and projects skills linux javascript scrum git python budgeting java planning education bachelors masters related to design soft skills communication teamwork,junior,polyvalent,design,"linux, javascript, scrum, git, python, budgeting, java, planning, reporting, teamwork",1
CV_0001,cv profile intermediate candidate in design experience with relevant tools and projects skills typography design systems adobe photoshop ux research figma wireframing ui design adobe illustrator education bachelors masters related to design soft skills communication teamwork,intermediate,specialized,design,"typography, design systems, adobe photoshop, ux research, figma, wireframing, ui design, adobe illustrator, teamwork, presentation",2
CV_0002,cv profile junior candidate in management experience with relevant tools and projects skills agile scrum budgeting communication planning project management reporting education bachelors masters related to management soft skills communication teamwork,junior,specialized,management,"agile, scrum, budgeting, communication, planning, project management, reporting",6
CV_0003,cv profile junior candidate in finance experience with relevant tools and projects skills powerpoint forecasting financial modeling excel sql accounting problem solving education bachelors masters related to finance soft skills communication teamwork,junior,specialized,finance,"powerpoint, forecasting, financial modeling, excel, sql, accounting, problem solving",4
CV_0004,cv profile senior candidate in data experience with relevant tools and projects skills risk analysis leadership project management agile siem cryptography financial modeling accounting education bachelors masters related to data soft skills communication teamwork,senior,polyvalent,data,"risk analysis, leadership, project management, agile, siem, cryptography, financial modeling, accounting, network security, penetration testing, sql, scrum, presentation, problem solving",6
CV_0005,cv profile intermediate candidate in management experience with relevant tools and projects skills project management budgeting scrum stakeholder management planning leadership communication agile education bachelors masters related to management soft skills communication teamwork,intermediate,specialized,management,"project management, budgeting, scrum, stakeholder management, planning, leadership, communication, agile, presentation",4
CV_0006,cv profile junior candidate in finance experience with relevant tools and projects skills agile linux risk assessment incident response testing penetration testing leadership rest api education bachelors masters related to finance soft skills communication teamwork,junior,polyvalent,finance,"agile, linux, risk assessment, incident response, testing, penetration testing, leadership, rest api, teamwork, presentation, english",5
CV_0007,cv profile intermediate candidate in data experience with relevant tools and projects skills ui design adobe illustrator testing wireframing cloud linux docker javascript education bachelors masters related to data soft skills communication teamwork,intermediate,polyvalent,data,"ui design, adobe illustrator, testing, wireframing, cloud, linux, docker, javascript, rest api, figma, presentation, reporting",1
CV_0008,cv profile junior candidate in management experience with relevant tools and projects skills agile scrum stakeholder management leadership planning project management reporting teamwork education bachelors masters related to management soft skills communication teamwork,junior,specialized,management,"agile, scrum, stakeholder management, leadership, planning, project management, reporting, teamwork",6
CV_0009,cv profile senior candidate in marketing experience with relevant tools and projects skills copywriting google analytics email marketing figma wireframing stakeholder management ui design design systems education bachelors masters related to marketing soft skills communication teamwork,senior,polyvalent,marketing,"copywriting, google analytics, email marketing, figma, wireframing, stakeholder management, ui design, design systems, seo, adobe photoshop, communication, planning, problem solving, teamwork",0
CV_0010,cv profile senior candidate in software experience with relevant tools and projects skills adobe illustrator accounting adobe photoshop ux research financial modeling business intelligence powerpoint forecasting education bachelors masters related to software soft skills communication teamwork,senior,polyvalent,software,"adobe illustrator, accounting, adobe photoshop, ux research, financial modeling, business intelligence, powerpoint, forecasting, ui design, risk analysis, wireframing, sql, teamwork, reporting, presentation",2
CV_0011,cv profile junior candidate in design experience with relevant tools and projects skills email marketing agile project management scrum budgeting excel forecasting sql education bachelors masters related to design soft skills communication teamwork,junior,polyvalent,design,"email marketing, agile, project management, scrum, budgeting, excel, forecasting, sql, communication, presentation",6
CV_0012,cv profile intermediate candidate in design experience with relevant tools and projects skills figma wireframing ux research design systems ui design typography adobe illustrator adobe photoshop education bachelors masters related to design soft skills communication teamwork,intermediate,specialized,design,"figma, wireframing, ux research, design systems, ui design, typography, adobe illustrator, adobe photoshop, presentation",2
CV_0013,cv profile intermediate candidate in marketing experience with relevant tools and projects skills branding email marketing social media content marketing seo crm copywriting google analytics education bachelors masters related to marketing soft skills communication teamwork,intermediate,specialized,marketing,"branding, email marketing, social media, content marketing, seo, crm, copywriting, google analytics, english, presentation",0
CV_0014,cv profile intermediate candidate in management experience with relevant tools and projects skills power bi statistics numpy business intelligence python pandas data visualization machine learning education bachelors masters related to management soft skills communication teamwork,intermediate,polyvalent,management,"power bi, statistics, numpy, business intelligence, python, pandas, data visualization, machine learning, risk analysis, etl, english, teamwork, communication",3
CV_0015,cv profile intermediate candidate in finance experience with relevant tools and projects skills ux research figma adobe illustrator tableau power bi machine learning python wireframing education bachelors masters related to finance soft skills communication teamwork,intermediate,polyvalent,finance,"ux research, figma, adobe illustrator, tableau, power bi, machine learning, python, wireframing, adobe photoshop, data visualization, english, communication",2
CV_0016,cv profile junior candidate in software experience with relevant tools and projects skills forecasting project management network security risk assessment scrum risk analysis budgeting incident response education bachelors masters related to software soft skills communication teamwork,junior,polyvalent,software,"forecasting, project management, network security, risk assessment, scrum, risk analysis, budgeting, incident response, reporting, presentation",5
CV_0017,cv profile intermediate candidate in data experience with relevant tools and projects skills tableau etl machine learning python pandas data visualization sql numpy education bachelors masters related to data soft skills communication teamwork,intermediate,specialized,data,"tableau, etl, machine learning, python, pandas, data visualization, sql, numpy, presentation",3
CV_0018,cv profile junior candidate in management experience with relevant tools and projects skills stakeholder management communication budgeting project management planning agile problem solving teamwork education bachelors masters related to management soft skills communication teamwork,junior,specialized,management,"stakeholder management, communication, budgeting, project management, planning, agile, problem solving, teamwork",6
CV_0019,cv profile intermediate candidate in design experience with relevant tools and projects skills wireframing ui design adobe illustrator ux research typography design systems figma adobe photoshop education bachelors masters related to design soft skills communication teamwork,intermediate,specialized,design,"wireframing, ui design, adobe illustrator, ux research, typography, design systems, figma, adobe photoshop, reporting, presentation",2
CV_0020,cv profile junior candidate in data experience with relevant tools and projects skills pandas machine learning numpy python sql power bi teamwork english education bachelors masters related to data soft skills communication teamwork,junior,specialized,data,"pandas, machine learning, numpy, python, sql, power bi, teamwork, english",3
CV_0021,cv profile intermediate candidate in management experience with relevant tools and projects skills project management planning communication scrum leadership stakeholder management agile budgeting education bachelors masters related to management soft skills communication teamwork,intermediate,specialized,management,"project management, planning, communication, scrum, leadership, stakeholder management, agile, budgeting, presentation",6
CV_0022,cv profile junior candidate in marketing experience with relevant tools and projects skills social media crm google analytics content marketing email marketing branding problem solving communication education bachelors masters related to marketing soft skills communication teamwork,junior,specialized,marketing,"social media, crm, google analytics, content marketing, email marketing, branding, problem solving, communication",0
CV_0023,cv profile intermediate candidate in data experience with relevant tools and projects skills linux pandas incident response sql data visualization risk assessment numpy cryptography education bachelors masters related to data soft skills communication teamwork,intermediate,polyvalent,data,"linux, pandas, incident response, sql, data visualization, risk assessment, numpy, cryptography, tableau, firewalls, communication, teamwork",5
CV_0024,cv profile junior candidate in marketing experience with relevant tools and projects skills google analytics social media content marketing seo branding crm problem solving education bachelors masters related to marketing soft skills communication teamwork,junior,specialized,marketing,"google analytics, social media, content marketing, seo, branding, crm, problem solving",0
CV_0025,cv profile intermediate candidate in software experience with relevant tools and projects skills crm google analytics content marketing social media business intelligence powerpoint excel financial modeling education bachelors masters related to software soft skills communication teamwork,intermediate,polyvalent,software,"crm, google analytics, content marketing, social media, business intelligence, powerpoint, excel, financial modeling, seo, branding, presentation, teamwork, problem solving",0
CV_0026,cv profile intermediate candidate in software experience with relevant tools and projects skills python linux git java testing javascript docker cloud education bachelors masters related to software soft skills communication teamwork,intermediate,specialized,software,"python, linux, git, java, testing, javascript, docker, cloud, communication",1
CV_0027,cv profile junior candidate in design experience with relevant tools and projects skills ui design wireframing ux research adobe illustrator typography adobe photoshop communication presentation education bachelors masters related to design soft skills communication teamwork,junior,specialized,design,"ui design, wireframing, ux research, adobe illustrator, typography, adobe photoshop, communication, presentation",2
CV_0028,cv profile junior candidate in cybersecurity experience with relevant tools and projects skills leadership budgeting tableau numpy social media crm communication etl education bachelors masters related to cybersecurity soft skills communication teamwork,junior,polyvalent,cybersecurity,"leadership, budgeting, tableau, numpy, social media, crm, communication, etl, reporting, teamwork, problem solving",3
CV_0029,cv profile intermediate candidate in data experience with relevant tools and projects skills power bi statistics numpy tableau python machine learning pandas data visualization education bachelors masters related to data soft skills communication teamwork,intermediate,specialized,data,"power bi, statistics, numpy, tableau, python, machine learning, pandas, data visualization, presentation",3
CV_0030,cv profile intermediate candidate in cybersecurity experience with relevant tools and projects skills network security typography adobe photoshop ui design powerpoint wireframing siem business intelligence education bachelors masters related to cybersecurity soft skills communication teamwork,intermediate,polyvalent,cybersecurity,"network security, typography, adobe photoshop, ui design, powerpoint, wireframing, siem, business intelligence, design systems, ux research, teamwork, english, problem solving",5
CV_0031,cv profile junior candidate in finance experience with relevant tools and projects skills javascript planning agile rest api project management communication python testing education bachelors masters related to finance soft skills communication teamwork,junior,polyvalent,finance,"javascript, planning, agile, rest api, project management, communication, python, testing, teamwork, problem solving",1
CV_0032,cv profile intermediate candidate in software experience with relevant tools and projects skills python git linux docker cloud testing microservices javascript education bachelors masters related to software soft skills communication teamwork,intermediate,specialized,software,"python, git, linux, docker, cloud, testing, microservices, javascript, presentation",1
CV_0033,cv profile junior candidate in design experience with relevant tools and projects skills ux research adobe illustrator wireframing figma adobe photoshop ui design teamwork education bachelors masters related to design soft skills communication teamwork,junior,specialized,design,"ux research, adobe illustrator, wireframing, figma, adobe photoshop, ui design, teamwork",2
CV_0034,cv profile senior candidate in management experience with relevant tools and projects skills project management communication agile leadership stakeholder management budgeting planning scrum education bachelors masters related to management soft skills communication teamwork,senior,specialized,management,"project management, communication, agile, leadership, stakeholder management, budgeting, planning, scrum, reporting, presentation",6
CV_0035,cv profile intermediate candidate in finance experience with relevant tools and projects skills accounting powerpoint risk analysis sql business intelligence excel financial modeling forecasting education bachelors masters related to finance soft skills communication teamwork,intermediate,specialized,finance,"accounting, powerpoint, risk analysis, sql, business intelligence, excel, financial modeling, forecasting, problem solving",4
CV_0036,cv profile junior candidate in finance experience with relevant tools and projects skills forecasting accounting sql business intelligence excel risk analysis teamwork education bachelors masters related to finance soft skills communication teamwork,junior,specialized,finance,"forecasting, accounting, sql, business intelligence, excel, risk analysis, teamwork",3
CV_0037,cv profile intermediate candidate in finance experience with relevant tools and projects skills business intelligence stakeholder management planning agile budgeting excel scrum leadership education bachelors masters related to finance soft skills communication teamwork,intermediate,polyvalent,finance,"business intelligence, stakeholder management, planning, agile, budgeting, excel, scrum, leadership, accounting, project management, english, communication, problem solving",6
CV_0038,cv profile intermediate candidate in cybersecurity experience with relevant tools and projects skills communication adobe photoshop leadership project management agile budgeting ux research design systems education bachelors masters related to cybersecurity soft skills communication teamwork,intermediate,polyvalent,cybersecurity,"communication, adobe photoshop, leadership, project management, agile, budgeting, ux research, design systems, adobe illustrator, google analytics, presentation, teamwork, english",6
CV_0039,cv profile senior candidate in software experience with relevant tools and projects skills microservices python java rest api git linux cloud testing education bachelors masters related to software soft skills communication teamwork,senior,specialized,software,"microservices, python, java, rest api, git, linux, cloud, testing, javascript, docker, problem solving, teamwork",1
CV_0040,cv profile junior candidate in finance experience with relevant tools and projects skills cryptography risk assessment firewalls network security excel leadership accounting financial modeling education bachelors masters related to finance soft skills communication teamwork,junior,polyvalent,finance,"cryptography, risk assessment, firewalls, network security, excel, leadership, accounting, financial modeling, communication, teamwork",5
CV_0041,cv profile intermediate candidate in software experience with relevant tools and projects skills git javascript linux rest api python docker java cloud education bachelors masters related to software soft skills communication teamwork,intermediate,specialized,software,"git, javascript, linux, rest api, python, docker, java, cloud, problem solving, teamwork",1
CV_0042,cv profile intermediate candidate in marketing experience with relevant tools and projects skills stakeholder management linux budgeting communication docker java rest api agile education bachelors masters related to marketing soft skills communication teamwork,intermediate,polyvalent,marketing,"stakeholder management, linux, budgeting, communication, docker, java, rest api, agile, testing, project management, reporting, teamwork",6
CV_0043,cv profile intermediate candidate in data experience with relevant tools and projects skills tableau sql python machine learning pandas statistics data visualization etl education bachelors masters related to data soft skills communication teamwork,intermediate,specialized,data,"tableau, sql, python, machine learning, pandas, statistics, data visualization, etl, communication, english",3
CV_0044,cv profile junior candidate in management experience with relevant tools and projects skills planning leadership stakeholder management agile budgeting project management reporting presentation education bachelors masters related to management soft skills communication teamwork,junior,specialized,management,"planning, leadership, stakeholder management, agile, budgeting, project management, reporting, presentation",6
CV_0045,cv profile junior candidate in management experience with relevant tools and projects skills communication scrum agile project management budgeting planning english education bachelors masters related to management soft skills communication teamwork,junior,specialized,management,"communication, scrum, agile, project management, budgeting, planning, english",6
CV_0046,cv profile intermediate candidate in marketing experience with relevant tools and projects skills seo social media google analytics content marketing email marketing branding copywriting crm education bachelors masters related to marketing soft skills communication teamwork,intermediate,specialized,marketing,"seo, social media, google analytics, content marketing, email marketing, branding, copywriting, crm, problem solving, reporting",0
CV_0047,cv profile senior candidate in design experience with relevant tools and projects skills typography figma ui design design systems adobe photoshop ux research wireframing adobe illustrator education bachelors masters related to design soft skills communication teamwork,senior,specialized,design,"typography, figma, ui design, design systems, adobe photoshop, ux research, wireframing, adobe illustrator, english, communication",2
CV_0048,cv profile junior candidate in data experience with relevant tools and projects skills statistics pandas numpy tableau power bi etl english reporting education bachelors masters related to data soft skills communication teamwork,junior,specialized,data,"statistics, pandas, numpy, tableau, power bi, etl, english, reporting",3
CV_0049,cv profile junior candidate in cybersecurity experience with relevant tools and projects skills penetration testing siem linux network security cryptography incident response presentation education bachelors masters related to cybersecurity soft skills communication teamwork,junior,specialized,cybersecurity,"penetration testing, siem, linux, network security, cryptography, incident response, presentation",5
CV_0050,cv profile senior candidate in marketing experience with relevant tools and projects skills microservices docker cloud typography ui design adobe illustrator javascript testing education bachelors masters related to marketing soft skills communication teamwork,senior,polyvalent,marketing,"microservices, docker, cloud, typography, ui design, adobe illustrator, javascript, testing, design systems, git, rest api, figma, problem solving, communication",1
CV_0051,cv profile intermediate candidate in data experience with relevant tools and projects skills design systems forecasting figma risk analysis wireframing powerpoint ui design accounting education bachelors masters related to data soft skills communication teamwork,intermediate,polyvalent,data,"design systems, forecasting, figma, risk analysis, wireframing, powerpoint, ui design, accounting, sql, typography, problem solving, english",2
CV_0052,cv profile intermediate candidate in data experience with relevant tools and projects skills sql python machine learning tableau pandas etl power bi statistics education bachelors masters related to data soft skills communication teamwork,intermediate,specialized,data,"sql, python, machine learning, tableau, pandas, etl, power bi, statistics, reporting",3
CV_0053,cv profile junior candidate in management experience with relevant tools and projects skills stakeholder management budgeting communication leadership planning agile reporting english education bachelors masters related to management soft skills communication teamwork,junior,specialized,management,"stakeholder management, budgeting, communication, leadership, planning, agile, reporting, english",6
CV_0054,cv profile intermediate candidate in cybersecurity experience with relevant tools and projects skills linux firewalls risk assessment cryptography siem incident response network security penetration testing education bachelors masters related to cybersecurity soft skills communication teamwork,intermediate,specialized,cybersecurity,"linux, firewalls, risk assessment, cryptography, siem, incident response, network security, penetration testing, teamwork",5
CV_0055,cv profile junior candidate in marketing experience with relevant tools and projects skills branding crm copywriting social media google analytics seo problem solving education bachelors masters related to marketing soft skills communication teamwork,junior,specialized,marketing,"branding, crm, copywriting, social media, google analytics, seo, problem solving",0
CV_0056,cv profile junior candidate in design experience with relevant tools and projects skills docker wireframing ui design typography java design systems adobe photoshop adobe illustrator education bachelors masters related to design soft skills communication teamwork,junior,polyvalent,design,"docker, wireframing, ui design, typography, java, design systems, adobe photoshop, adobe illustrator, teamwork, communication, reporting",1
CV_0057,cv profile intermediate candidate in software experience with relevant tools and projects skills cloud docker linux python git javascript rest api java education bachelors masters related to software soft skills communication teamwork,intermediate,specialized,software,"cloud, docker, linux, python, git, javascript, rest api, java, english, communication",1
CV_0058,cv profile junior candidate in marketing experience with relevant tools and projects skills crm copywriting google analytics seo email marketing social media presentation education bachelors masters related to marketing soft skills communication teamwork,junior,specialized,marketing,"crm, copywriting, google analytics, seo, email marketing, social media, presentation",0
CV_0059,cv profile junior candidate in management experience with relevant tools and projects skills scrum stakeholder management communication budgeting leadership project management presentation english education bachelors masters related to management soft skills communication teamwork,junior,specialized,management,"scrum, stakeholder management, communication, budgeting, leadership, project management, presentation, english",6
CV_0060,cv profile junior candidate in data experience with relevant tools and projects skills numpy sql machine learning etl statistics tableau presentation english education bachelors masters related to data soft skills communication teamwork,junior,specialized,data,"numpy, sql, machine learning, etl, statistics, tableau, presentation, english",3
CV_0061,cv profile intermediate candidate in management experience with relevant tools and projects skills agile scrum budgeting planning project management leadership stakeholder management communication education bachelors masters related to management soft skills communication teamwork,intermediate,specialized,management,"agile, scrum, budgeting, planning, project management, leadership, stakeholder management, communication, teamwork",6
CV_0062,cv profile junior candidate in marketing experience with relevant tools and projects skills agile python etl testing rest api stakeholder management planning machine learning education bachelors masters related to marketing soft skills communication teamwork,junior,polyvalent,marketing,"agile, python, etl, testing, rest api, stakeholder management, planning, machine learning, presentation, teamwork",6
CV_0063,cv profile intermediate candidate in cybersecurity experience with relevant tools and projects skills linux risk assessment network security incident response cryptography siem penetration testing firewalls education bachelors masters related to cybersecurity soft skills communication teamwork,intermediate,specialized,cybersecurity,"linux, risk assessment, network security, incident response, cryptography, siem, penetration testing, firewalls, reporting, problem solving",5
CV_0064,cv profile intermediate candidate in finance experience with relevant tools and projects skills social media excel sql risk analysis branding google analytics email marketing financial modeling education bachelors masters related to finance soft skills communication teamwork,intermediate,polyvalent,finance,"social media, excel, sql, risk analysis, branding, google analytics, email marketing, financial modeling, forecasting, content marketing, communication, problem solving, reporting",0
CV_0065,cv profile intermediate candidate in management experience with relevant tools and projects skills communication stakeholder management budgeting java financial modeling business intelligence powerpoint rest api education bachelors masters related to management soft skills communication teamwork,intermediate,polyvalent,management,"communication, stakeholder management, budgeting, java, financial modeling, business intelligence, powerpoint, rest api, sql, agile, reporting, english",6
CV_0066,cv profile senior candidate in software experience with relevant tools and projects skills rest api linux microservices git cloud java testing python education bachelors masters related to software soft skills communication teamwork,senior,specialized,software,"rest api, linux, microservices, git, cloud, java, testing, python, javascript, docker, english",1
CV_0067,cv profile intermediate candidate in data experience with relevant tools and projects skills machine learning data visualization tableau python statistics etl pandas numpy education bachelors masters related to data soft skills communication teamwork,intermediate,specialized,data,"machine learning, data visualization, tableau, python, statistics, etl, pandas, numpy, presentation, communication",3
CV_0068,cv profile junior candidate in management experience with relevant tools and projects skills network security firewalls business intelligence excel risk analysis siem linux sql education bachelors masters related to management soft skills communication teamwork,junior,polyvalent,management,"network security, firewalls, business intelligence, excel, risk analysis, siem, linux, sql, communication, presentation, english",5
CV_0069,cv profile intermediate candidate in software experience with relevant tools and projects skills etl sql risk assessment cryptography network security machine learning pandas linux education bachelors masters related to software soft skills communication teamwork,intermediate,polyvalent,software,"etl, sql, risk assessment, cryptography, network security, machine learning, pandas, linux, penetration testing, python, teamwork, communication",5
CV_0070,cv profile senior candidate in marketing experience with relevant tools and projects skills social media branding copywriting content marketing crm email marketing google analytics seo education bachelors masters related to marketing soft skills communication teamwork,senior,specialized,marketing,"social media, branding, copywriting, content marketing, crm, email marketing, google analytics, seo, presentation, communication",0
CV_0071,cv profile junior candidate in management experience with relevant tools and projects skills scrum project management stakeholder management leadership communication planning presentation problem solving education bachelors masters related to management soft skills communication teamwork,junior,specialized,management,"scrum, project management, stakeholder management, leadership, communication, planning, presentation, problem solving",4
CV_0072,cv profile intermediate candidate in finance experience with relevant tools and projects skills sql business intelligence risk analysis excel financial modeling powerpoint accounting forecasting education bachelors masters related to finance soft skills communication teamwork,intermediate,specialized,finance,"sql, business intelligence, risk analysis, excel, financial modeling, powerpoint, accounting, forecasting, communication, english",4
CV_0073,cv profile junior candidate in cybersecurity experience with relevant tools and projects skills social media seo email marketing copywriting design systems adobe photoshop google analytics ui design education bachelors masters related to cybersecurity soft skills communication teamwork,junior,polyvalent,cybersecurity,"social media, seo, email marketing, copywriting, design systems, adobe photoshop, google analytics, ui design, reporting, problem solving",0
CV_0074,cv profile intermediate candidate in design experience with relevant tools and projects skills typography data visualization tableau figma numpy statistics etl adobe illustrator education bachelors masters related to design soft skills communication teamwork,intermediate,polyvalent,design,"typography, data visualization, tableau, figma, numpy, statistics, etl, adobe illustrator, ux research, machine learning, presentation, english, teamwork",3
CV_0075,cv profile junior candidate in software experience with relevant tools and projects skills rest api testing docker microservices java javascript problem solving presentation education bachelors masters related to software soft skills communication teamwork,junior,specialized,software,"rest api, testing, docker, microservices, java, javascript, problem solving, presentation",1
CV_0076,cv profile junior candidate in management experience with relevant tools and projects skills python testing javascript java agile budgeting docker planning education bachelors masters related to management soft skills communication teamwork,junior,polyvalent,management,"python, testing, javascript, java, agile, budgeting, docker, planning, english, problem solving",6
CV_0077,cv profile intermediate candidate in design experience with relevant tools and projects skills wireframing design systems adobe illustrator ux research figma adobe photoshop typography ui design education bachelors masters related to design soft skills communication teamwork,intermediate,specialized,design,"wireframing, design systems, adobe illustrator, ux research, figma, adobe photoshop, typography, ui design, reporting",2
CV_0078,cv profile junior candidate in marketing experience with relevant tools and projects skills content marketing crm social media google analytics email marketing seo communication education bachelors masters related to marketing soft skills communication teamwork,junior,specialized,marketing,"content marketing, crm, social media, google analytics, email marketing, seo, communication",0
CV_0079,cv profile junior candidate in data experience with relevant tools and projects skills sql statistics machine learning power bi data visualization etl reporting teamwork education bachelors masters related to data soft skills communication teamwork,junior,specialized,data,"sql, statistics, machine learning, power bi, data visualization, etl, reporting, teamwork",3
CV_0080,cv profile intermediate candidate in finance experience with relevant tools and projects skills scrum python linux agile leadership cryptography power bi penetration testing education bachelors masters related to finance soft skills communication teamwork,intermediate,polyvalent,finance,"scrum, python, linux, agile, leadership, cryptography, power bi, penetration testing, incident response, machine learning, problem solving, teamwork, communication",5
CV_0081,cv profile intermediate candidate in management experience with relevant tools and projects skills stakeholder management planning budgeting communication project management leadership agile scrum education bachelors masters related to management soft skills communication teamwork,intermediate,specialized,management,"stakeholder management, planning, budgeting, communication, project management, leadership, agile, scrum, reporting",6
CV_0082,cv profile junior candidate in software experience with relevant tools and projects skills linux rest api google analytics testing cloud java seo email marketing education bachelors masters related to software soft skills communication teamwork,junior,polyvalent,software,"linux, rest api, google analytics, testing, cloud, java, seo, email marketing, reporting, problem solving",1
