cv_id,text,skills,level,profile_type,domain,text_canonical
CV_0000,"CV Profile: junior candidate in design. Experience with relevant tools and projects. Skills:
- linux
- javascript
- scrum
- git
- python
- budgeting
- java
- planning
Education: Bachelor's / Master's related to design. Soft skills: communication, teamwork.","linux, javascript, scrum, git, python, budgeting, java, planning, reporting, teamwork",junior,polyvalent,design,"cv profile junior candidate in design. experience with relevant tools and projects. skills - linux - javascript - scrum - git - python - budgeting - java - planning education bachelor s master s related to design. soft skills communication, teamwork. linux, javascript, scrum, git, python, budgeting, java, planning, reporting, teamwork"
CV_0001,"CV Profile: intermediate candidate in design. Experience with relevant tools and projects. Skills:
- typography
- design systems
- adobe photoshop
- ux research
- figma
- wireframing
- ui design
- adobe illustrator
Education: Bachelor's / Master's related to design. Soft skills: communication, teamwork.","typography, design systems, adobe photoshop, ux research, figma, wireframing, ui design, adobe illustrator, teamwork, presentation",intermediate,specialized,design,"cv profile intermediate candidate in design. experience with relevant tools and projects. skills - typography - design systems - adobe photoshop - ux research - figma - wireframing - ui design - adobe illustrator education bachelor s master s related to design. soft skills communication, teamwork. typography, design systems, adobe photoshop, ux research, figma, wireframing, ui design, adobe illustrator, teamwork, presentation"
CV_0002,"CV Profile: junior candidate in management. Experience with relevant tools and projects. Skills:
- agile
- scrum
- budgeting
- communication
- planning
- project management
- reporting
Education: Bachelor's / Master's related to management. Soft skills: communication, teamwork.","agile, scrum, budgeting, communication, planning, project management, reporting",junior,specialized,management,"cv profile junior candidate in management. experience with relevant tools and projects. skills - agile - scrum - budgeting - communication - planning - project management - reporting education bachelor s master s related to management. soft skills communication, teamwork. agile, scrum, budgeting, communication, planning, project management, reporting"
CV_0003,"CV Profile: junior candidate in finance. Experience with relevant tools and projects. Skills:
- powerpoint
- forecasting
- financial modeling
- excel
- sql
- accounting
- problem solving
Education: Bachelor's / Master's related to finance. Soft skills: communication, teamwork.","powerpoint, forecasting, financial modeling, excel, sql, accounting, problem solving",junior,specialized,finance,"cv profile junior candidate in finance. experience with relevant tools and projects. skills - powerpoint - forecasting - financial modeling - excel - sql - accounting - problem solving education bachelor s master s related to finance. soft skills communication, teamwork. powerpoint, forecasting, financial modeling, excel, sql, accounting, problem solving"
CV_0004,"CV Profile: senior candidate in data. Experience with relevant tools and projects. Skills:
- risk analysis
- leadership
- project management
- agile
- siem
- cryptography
- financial modeling
- accounting
Education: Bachelor's / Master's related to data. Soft skills: communication, teamwork.","risk analysis, leadership, project management, agile, siem, cryptography, financial modeling, accounting, network security, penetration testing, sql, scrum, presentation, problem solving",senior,polyvalent,data,"cv profile senior candidate in data. experience with relevant tools and projects. skills - risk analysis - leadership - project management - agile - siem - cryptography - financial modeling - accounting education bachelor s master s related to data. soft skills communication, teamwork. risk analysis, leadership, project management, agile, siem, cryptography, financial modeling, accounting, network security, penetration testing, sql, scrum, presentation, problem solving"
CV_0005,"CV Profile: intermediate candidate in management. Experience with relevant tools and projects. Skills:
- project management
- budgeting
- scrum
- stakeholder management
- planning
- leadership
- communication
- agile
Education: Bachelor's / Master's related to management. Soft skills: communication, teamwork.","project management, budgeting, scrum, stakeholder management, planning, leadership, communication, agile, presentation",intermediate,specialized,management,"cv profile intermediate candidate in management. experience with relevant tools and projects. skills - project management - budgeting - scrum - stakeholder management - planning - leadership - communication - agile education bachelor s master s related to management. soft skills communication, teamwork. project management, budgeting, scrum, stakeholder management, planning, leadership, communication, agile, presentation"
CV_0006,"CV Profile: junior candidate in finance. Experience with relevant tools and projects. Skills:
- agile
- linux
- risk assessment
- incident response
- testing
- penetration testing
- leadership
- rest api
Education: Bachelor's / Master's related to finance. Soft skills: communication, teamwork.","agile, linux, risk assessment, incident response, testing, penetration testing, leadership, rest api, teamwork, presentation, english",junior,polyvalent,finance,"cv profile junior candidate in finance. experience with relevant tools and projects. skills - agile - linux - risk assessment - incident response - testing - penetration testing - leadership - rest api education bachelor s master s related to finance. soft skills communication, teamwork. agile, linux, risk assessment, incident response, testing, penetration testing, leadership, rest api, teamwork, presentation, english"
CV_0007,"CV Profile: intermediate candidate in data. Experience with relevant tools and projects. Skills:
- ui design
- adobe illustrator
- testing
- wireframing
- cloud
- linux
- docker
- javascript
Education: Bachelor's / Master's related to data. Soft skills: communication, teamwork.","ui design, adobe illustrator, testing, wireframing, cloud, linux, docker, javascript, rest api, figma, presentation, reporting",intermediate,polyvalent,data,"cv profile intermediate candidate in data. experience with relevant tools and projects. skills - ui design - adobe illustrator - testing - wireframing - cloud - linux - docker - javascript education bachelor s master s related to data. soft skills communication, teamwork. ui design, adobe illustrator, testing, wireframing, cloud, linux, docker, javascript, rest api, figma, presentation, reporting"
CV_0008,"CV Profile: junior candidate in management. Experience with relevant tools and projects. Skills:
- agile
- scrum
- stakeholder management
- leadership
- planning
- project management
- reporting
- teamwork
Education: Bachelor's / Master's related to management. Soft skills: communication, teamwork.","agile, scrum, stakeholder management, leadership, planning, project management, reporting, teamwork",junior,specialized,management,"cv profile junior candidate in management. experience with relevant tools and projects. skills - agile - scrum - stakeholder management - leadership - planning - project management - reporting - teamwork education bachelor s master s related to management. soft skills communication, teamwork. agile, scrum, stakeholder management, leadership, planning, project management, reporting, teamwork"
CV_0009,"CV Profile: senior candidate in marketing. Experience with relevant tools and projects. Skills:
- copywriting
- google analytics
- email marketing
- figma
- wireframing
- stakeholder management
- ui design
- design systems
Education: Bachelor's / Master's related to marketing. Soft skills: communication, teamwork.","copywriting, google analytics, email marketing, figma, wireframing, stakeholder management, ui design, design systems, seo, adobe photoshop, communication, planning, problem solving, teamwork",senior,polyvalent,marketing,"cv profile senior candidate in marketing. experience with relevant tools and projects. skills - copywriting - google analytics - email marketing - figma - wireframing - stakeholder management - ui design - design systems education bachelor s master s related to marketing. soft skills communication, teamwork. copywriting, google analytics, email marketing, figma, wireframing, stakeholder management, ui design, design systems, seo, adobe photoshop, communication, planning, problem solving, teamwork"
CV_0010,"CV Profile: senior candidate in software. Experience with relevant tools and projects. Skills:
- adobe illustrator
- accounting
- adobe photoshop
- ux research
- financial modeling
- business intelligence
- powerpoint
- forecasting
Education: Bachelor's / Master's related to software. Soft skills: communication, teamwork.","adobe illustrator, accounting, adobe photoshop, ux research, financial modeling, business intelligence, powerpoint, forecasting, ui design, risk analysis, wireframing, sql, teamwork, reporting, presentation",senior,polyvalent,software,"cv profile senior candidate in software. experience with relevant tools and projects. skills - adobe illustrator - accounting - adobe photoshop - ux research - financial modeling - business intelligence - powerpoint - forecasting education bachelor s master s related to software. soft skills communication, teamwork. adobe illustrator, accounting, adobe photoshop, ux research, financial modeling, business intelligence, powerpoint, forecasting, ui design, risk analysis, wireframing, sql, teamwork, reporting, presentation"
CV_0011,"CV Profile: junior candidate in design. Experience with relevant tools and projects. Skills:
- email marketing
- agile
- project management
- scrum
- budgeting
- excel
- forecasting
- sql
Education: Bachelor's / Master's related to design. Soft skills: communication, teamwork.","email marketing, agile, project management, scrum, budgeting, excel, forecasting, sql, communication, presentation",junior,polyvalent,design,"cv profile junior candidate in design. experience with relevant tools and projects. skills - email marketing - agile - project management - scrum - budgeting - excel - forecasting - sql education bachelor s master s related to design. soft skills communication, teamwork. email marketing, agile, project management, scrum, budgeting, excel, forecasting, sql, communication, presentation"
