cv_id,text,skills,level,profile_type,domain
CV_0000,"CV Profile: junior candidate in design. Experience with relevant tools and projects. Skills:
- linux
- javascript
- scrum
- git
- python
- budgeting
- java
- planning
Education: Bachelor's / Master's related to design. Soft skills: communication, teamwork.","linux, javascript, scrum, git, python, budgeting, java, planning, reporting, teamwork",junior,polyvalent,design
CV_0001,"CV Profile: intermediate candidate in design. Experience with relevant tools and projects. Skills:
- typography
- design systems
- adobe photoshop
- ux research
- figma
- wireframing
- ui design
- adobe illustrator
Education: Bachelor's / Master's related to design. Soft skills: communication, teamwork.","typography, design systems, adobe photoshop, ux research, figma, wireframing, ui design, adobe illustrator, teamwork, presentation",intermediate,specialized,design
CV_0002,"CV Profile: junior candidate in management. Experience with relevant tools and projects. Skills:
- agile
- scrum
- budgeting
- communication
- planning
- project management
- reporting
Education: Bachelor's / Master's related to management. Soft skills: communication, teamwork.","agile, scrum, budgeting, communication, planning, project management, reporting",junior,specialized,management
CV_0003,"CV Profile: junior candidate in finance. Experience with relevant tools and projects. Skills:
- powerpoint
- forecasting
- financial modeling
- excel
- sql
- accounting
- problem solving
Education: Bachelor's / Master's related to finance. Soft skills: communication, teamwork.","powerpoint, forecasting, financial modeling, excel, sql, accounting, problem solving",junior,specialized,finance
CV_0004,"CV Profile: senior candidate in data. Experience with relevant tools and projects. Skills:
- risk analysis
- leadership
- project management
- agile
- siem
- cryptography
- financial modeling
- accounting
Education: Bachelor's / Master's related to data. Soft skills: communication, teamwork.","risk analysis, leadership, project management, agile, siem, cryptography, financial modeling, accounting, network security, penetration testing, sql, scrum, presentation, problem solving",senior,polyvalent,data
CV_0005,"CV Profile: intermediate candidate in management. Experience with relevant tools and projects. Skills:
- project management
- budgeting
- scrum
- stakeholder management
- planning
- leadership
- communication
- agile
Education: Bachelor's / Master's related to management. Soft skills: communication, teamwork.","project management, budgeting, scrum, stakeholder management, planning, leadership, communication, agile, presentation",intermediate,specialized,management
CV_0006,"CV Profile: junior candidate in finance. Experience with relevant tools and projects. Skills:
- agile
- linux
- risk assessment
- incident response
- testing
- penetration testing
- leadership
- rest api
Education: Bachelor's / Master's related to finance. Soft skills: communication, teamwork.","agile, linux, risk assessment, incident response, testing, penetration testing, leadership, rest api, teamwork, presentation, english",junior,polyvalent,finance
CV_0007,"CV Profile: intermediate candidate in data. Experience with relevant tools and projects. Skills:
- ui design
- adobe illustrator
- testing
- wireframing
- cloud
- linux
- docker
- javascript
Education: Bachelor's / Master's related to data. Soft skills: communication, teamwork.","ui design, adobe illustrator, testing, wireframing, cloud, linux, docker, javascript, rest api, figma, presentation, reporting",intermediate,polyvalent,data
CV_0008,"CV Profile: junior candidate in management. Experience with relevant tools and projects. Skills:
- agile
- scrum
- stakeholder management
- leadership
- planning
- project management
- reporting
- teamwork
Education: Bachelor's / Master's related to management. Soft skills: communication, teamwork.","agile, scrum, stakeholder management, leadership, planning, project management, reporting, teamwork",junior,specialized,management
CV_0009,"CV Profile: senior candidate in marketing. Experience with relevant tools and projects. Skills:
- copywriting
- google analytics
- email marketing
- figma
- wireframing
- stakeholder management
- ui design
- design systems
Education: Bachelor's / Master's related to marketing. Soft skills: communication, teamwork.","copywriting, google analytics, email marketing, figma, wireframing, stakeholder management, ui design, design systems, seo, adobe photoshop, communication, planning, problem solving, teamwork",senior,polyvalent,marketing
