job_id,text,skills,level_required,domain,text_canonical
JOB_0000,"Job Offer: junior position in cybersecurity. We are looking for a candidate with the following requirements:
- linux
- risk assessment
- firewalls
- penetration testing
- network security
- cryptography
- english
Nice to have: reporting, presentation. Location: Hybrid.","linux, risk assessment, firewalls, penetration testing, network security, cryptography, english",junior,cybersecurity,"job offer junior position in cybersecurity. we are looking for a candidate with the following requirements - linux - risk assessment - firewalls - penetration testing - network security - cryptography - english nice to have reporting, presentation. location hybrid. linux, risk assessment, firewalls, penetration testing, network security, cryptography, english"
JOB_0001,"Job Offer: intermediate position in cybersecurity. We are looking for a candidate with the following requirements:
- siem
- linux
- penetration testing
- risk assessment
- network security
- firewalls
- cryptography
- incident response
Nice to have: reporting, presentation. Location: Hybrid.","siem, linux, penetration testing, risk assessment, network security, firewalls, cryptography, incident response, teamwork",intermediate,cybersecurity,"job offer intermediate position in cybersecurity. we are looking for a candidate with the following requirements - siem - linux - penetration testing - risk assessment - network security - firewalls - cryptography - incident response nice to have reporting, presentation. location hybrid. siem, linux, penetration testing, risk assessment, network security, firewalls, cryptography, incident response, teamwork"
JOB_0002,"Job Offer: intermediate position in cybersecurity. We are looking for a candidate with the following requirements:
- penetration testing
- incident response
- risk assessment
- cryptography
- siem
- network security
- linux
- firewalls
Nice to have: reporting, presentation. Location: Hybrid.","penetration testing, incident response, risk assessment, cryptography, siem, network security, linux, firewalls, reporting",intermediate,cybersecurity,"job offer intermediate position in cybersecurity. we are looking for a candidate with the following requirements - penetration testing - incident response - risk assessment - cryptography - siem - network security - linux - firewalls nice to have reporting, presentation. location hybrid. penetration testing, incident response, risk assessment, cryptography, siem, network security, linux, firewalls, reporting"
JOB_0003,"Job Offer: intermediate position in data. We are looking for a candidate with the following requirements:
- machine learning
- data visualization
- power bi
- python
- tableau
- sql
- pandas
- numpy
Nice to have: reporting, presentation. Location: Hybrid.","machine learning, data visualization, power bi, python, tableau, sql, pandas, numpy, problem solving, presentation",intermediate,data,"job offer intermediate position in data. we are looking for a candidate with the following requirements - machine learning - data visualization - power bi - python - tableau - sql - pandas - numpy nice to have reporting, presentation. location hybrid. machine learning, data visualization, power bi, python, tableau, sql, pandas, numpy, problem solving, presentation"
JOB_0004,"Job Offer: junior position in cybersecurity. We are looking for a candidate with the following requirements:
- risk assessment
- penetration testing
- cryptography
- network security
- firewalls
- siem
- english
- teamwork
Nice to have: reporting, presentation. Location: Hybrid.","risk assessment, penetration testing, cryptography, network security, firewalls, siem, english, teamwork",junior,cybersecurity,"job offer junior position in cybersecurity. we are looking for a candidate with the following requirements - risk assessment - penetration testing - cryptography - network security - firewalls - siem - english - teamwork nice to have reporting, presentation. location hybrid. risk assessment, penetration testing, cryptography, network security, firewalls, siem, english, teamwork"
JOB_0005,"Job Offer: intermediate position in design. We are looking for a candidate with the following requirements:
- typography
- figma
- adobe illustrator
- ux research
- design systems
- wireframing
- ui design
- adobe photoshop
Nice to have: reporting, presentation. Location: Hybrid.","typography, figma, adobe illustrator, ux research, design systems, wireframing, ui design, adobe photoshop, communication, reporting",intermediate,design,"job offer intermediate position in design. we are looking for a candidate with the following requirements - typography - figma - adobe illustrator - ux research - design systems - wireframing - ui design - adobe photoshop nice to have reporting, presentation. location hybrid. typography, figma, adobe illustrator, ux research, design systems, wireframing, ui design, adobe photoshop, communication, reporting"
JOB_0006,"Job Offer: intermediate position in management. We are looking for a candidate with the following requirements:
- leadership
- stakeholder management
- project management
- scrum
- agile
- budgeting
- planning
- communication
Nice to have: reporting, presentation. Location: Hybrid.","leadership, stakeholder management, project management, scrum, agile, budgeting, planning, communication, reporting",intermediate,management,"job offer intermediate position in management. we are looking for a candidate with the following requirements - leadership - stakeholder management - project management - scrum - agile - budgeting - planning - communication nice to have reporting, presentation. location hybrid. leadership, stakeholder management, project management, scrum, agile, budgeting, planning, communication, reporting"
JOB_0007,"Job Offer: junior position in marketing. We are looking for a candidate with the following requirements:
- content marketing
- branding
- crm
- email marketing
- social media
- seo
- reporting
Nice to have: reporting, presentation. Location: Hybrid.","content marketing, branding, crm, email marketing, social media, seo, reporting",junior,marketing,"job offer junior position in marketing. we are looking for a candidate with the following requirements - content marketing - branding - crm - email marketing - social media - seo - reporting nice to have reporting, presentation. location hybrid. content marketing, branding, crm, email marketing, social media, seo, reporting"
JOB_0008,"Job Offer: intermediate position in management. We are looking for a candidate with the following requirements:
- budgeting
- planning
- project management
- agile
- leadership
- communication
- scrum
- stakeholder management
Nice to have: reporting, presentation. Location: Hybrid.","budgeting, planning, project management, agile, leadership, communication, scrum, stakeholder management",intermediate,management,"job offer intermediate position in management. we are looking for a candidate with the following requirements - budgeting - planning - project management - agile - leadership - communication - scrum - stakeholder management nice to have reporting, presentation. location hybrid. budgeting, planning, project management, agile, leadership, communication, scrum, stakeholder management"
JOB_0009,"Job Offer: junior position in data. We are looking for a candidate with the following requirements:
- pandas
- power bi
- sql
- tableau
- etl
- machine learning
- english
- presentation
Nice to have: reporting, presentation. Location: Hybrid.","pandas, power bi, sql, tableau, etl, machine learning, english, presentation",junior,data,"job offer junior position in data. we are looking for a candidate with the following requirements - pandas - power bi - sql - tableau - etl - machine learning - english - presentation nice to have reporting, presentation. location hybrid. pandas, power bi, sql, tableau, etl, machine learning, english, presentation"
JOB_0010,"Job Offer: junior position in design. We are looking for a candidate with the following requirements:
- adobe illustrator
- figma
- typography
- wireframing
- adobe photoshop
- ux research
- presentation
Nice to have: reporting, presentation. Location: Hybrid.","adobe illustrator, figma, typography, wireframing, adobe photoshop, ux research, presentation",junior,design,"job offer junior position in design. we are looking for a candidate with the following requirements - adobe illustrator - figma - typography - wireframing - adobe photoshop - ux research - presentation nice to have reporting, presentation. location hybrid. adobe illustrator, figma, typography, wireframing, adobe photoshop, ux research, presentation"
JOB_0011,"Job Offer: junior position in marketing. We are looking for a candidate with the following requirements:
- content marketing
- google analytics
- copywriting
- seo
- email marketing
- social media
- reporting
- communication
Nice to have: reporting, presentation. Location: Hybrid.","content marketing, google analytics, copywriting, seo, email marketing, social media, reporting, communication",junior,marketing,"job offer junior position in marketing. we are looking for a candidate with the following requirements - content marketing - google analytics - copywriting - seo - email marketing - social media - reporting - communication nice to have reporting, presentation. location hybrid. content marketing, google analytics, copywriting, seo, email marketing, social media, reporting, communication"
